,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
269,Ostersund,100,SE,1574541335,93,63.18,14.64,1.15,6.7
270,Northam,12,AU,1574541336,72,-31.65,116.67,17.0,3.6
271,Trinidad,75,BO,1574541337,62,-14.83,-64.9,31.0,2.6
272,Mayumba,0,GA,1574541338,84,-3.44,10.65,26.73,5.25
273,Flinders,75,AU,1574541339,82,-34.58,150.85,17.22,3.1
274,Brae,100,GB,1574541341,93,60.4,-1.35,9.0,8.7
275,Dekar,100,BW,1574541342,34,-21.53,21.93,29.65,4.11
276,Tairua,0,NZ,1574541343,73,-37.02,175.85,20.36,3.58
277,Bahia Honda,4,CU,1574541344,64,22.9,-83.16,26.88,1.64
278,Balkanabat,0,TM,1574541346,42,39.51,54.36,-5.43,1.89
279,Pangody,12,RU,1574541347,96,65.85,74.49,-23.7,4.16
280,Ola,100,RU,1574541348,79,59.58,151.3,-5.4,17.02
281,Wahiawa,75,US,1574541351,83,21.5,-158.02,26.07,5.7
282,Yerbogachen,100,RU,1574541310,96,61.28,108.01,-21.89,3.61
283,Ouro Sogui,0,SN,1574541355,33,15.61,-13.32,32.0,4.22
284,Khandyga,65,RU,1574541356,99,62.65,135.58,-36.06,0.91
285,Arandis,0,NA,1574541357,85,-22.42,14.98,16.11,4.02
286,Coquimbo,75,CL,1574541063,56,-29.95,-71.34,23.19,5.1
287,Tuatapere,0,NZ,1574541359,66,-46.13,167.69,16.67,7.15
288,Porto Velho,75,BR,1574541361,83,-8.75,-63.87,26.0,2.6
289,Faanui,62,PF,1574541362,77,-16.48,-151.75,27.4,6.97
290,Mon,100,IN,1574541365,96,26.73,95.03,12.22,1.28
291,Tibati,0,CM,1574541367,40,6.47,12.63,23.33,1.74
292,Nantucket,1,US,1574541106,56,41.28,-70.1,5.68,5.7
293,Baykit,100,RU,1574541370,95,61.68,96.39,-15.57,2.44
294,Geraldton,90,CA,1574541272,86,49.72,-86.95,-1.0,3.1
295,Catumbela,14,AO,1574541372,75,-12.43,13.55,23.93,1.58
296,Severo-Yeniseyskiy,100,RU,1574541373,87,60.37,93.04,-14.57,6.26
297,Playa Vicente,58,MX,1574541374,69,17.83,-95.81,27.92,2.55
298,Mkushi,100,ZM,1574541376,96,-13.61,29.4,18.76,0.8
299,Jinchang,13,CN,1574541377,35,38.52,102.19,-9.5,1.82
300,Umtata,81,ZA,1574541378,100,-31.59,28.78,16.0,5.1
301,Jawhar,56,IN,1574541381,63,19.91,73.23,22.7,1.84
302,Viedma,80,AR,1574541382,24,-40.81,-62.99,22.7,10.77
303,Maceio,20,BR,1574541161,69,-9.67,-35.74,27.0,5.1
304,Halifax,20,CA,1574541171,64,44.65,-63.58,1.3,5.7
305,Urucara,59,BR,1574541386,58,-2.54,-57.76,30.5,1.94
306,Verkhoyansk,18,RU,1574541387,83,67.55,133.39,-39.31,1.12
307,Riviere-au-Renard,75,CA,1574541388,80,49.0,-64.4,0.0,9.3
308,Natal,52,BR,1574541389,65,-5.81,-35.21,28.0,7.2
309,Mareeba,40,AU,1574541272,88,-16.99,145.42,20.07,0.78
310,Birjand,100,IR,1574541392,49,32.86,59.22,2.0,2.1
311,Kirkuk,0,IQ,1574541396,30,35.47,44.4,9.49,0.57
312,Tigil,100,RU,1574541335,73,57.8,158.67,-6.3,6.0
313,Homer,1,US,1574541398,59,59.64,-151.54,1.39,4.6
314,Pachino,20,IT,1574541400,72,36.72,15.09,15.58,4.6
315,Waipawa,0,NZ,1574541401,72,-39.94,176.59,19.44,1.79
316,Bourges,90,FR,1574541402,93,47.08,2.4,9.69,2.1
317,Sao Joao da Barra,75,BR,1574541403,88,-21.64,-41.05,25.0,5.1
318,Loandjili,94,CG,1574541404,84,-4.77,11.87,25.81,3.34
319,Santa Vitoria,35,BR,1574541406,71,-7.82,-67.03,28.8,2.04
320,Surt,33,LY,1574541407,43,31.21,16.59,19.17,5.5
321,Tilichiki,0,RU,1574541408,82,60.47,166.1,-18.92,3.09
322,Borogontsy,93,RU,1574541411,99,62.67,131.17,-32.36,2.11
323,Petukhovo,100,RU,1574541412,94,55.06,67.89,-8.22,4.86
324,Pimentel,69,BR,1574541413,83,-3.7,-45.5,26.57,1.19
325,Boma,0,GH,1574541414,71,7.08,-2.17,24.64,1.43
326,Tecoanapa,40,MX,1574541415,74,16.99,-99.26,30.0,2.6
327,Constantine,75,DZ,1574541417,81,36.36,6.61,8.0,6.2
328,Lagoa,59,PT,1574541166,71,37.14,-8.45,13.37,4.6
329,Miranda,100,BR,1574541420,42,-20.24,-56.38,32.15,1.25
330,Coari,88,BR,1574541421,73,-4.09,-63.14,29.91,1.22
331,Axim,21,GH,1574541422,86,4.87,-2.24,25.62,1.82
332,Kruisfontein,11,ZA,1574541424,87,-34.0,24.73,14.24,2.9
333,Mountain Home,1,US,1574541426,52,43.13,-115.69,7.26,0.96
334,Boende,100,CD,1574541427,96,-0.28,20.88,19.94,1.45
335,Margate,75,AU,1574541428,53,-43.03,147.26,11.18,2.6
336,Dese,90,IT,1574541431,93,45.53,12.3,13.32,3.6
337,Yaan,84,NG,1574541432,65,7.38,8.57,27.98,2.59
338,Mount Pleasant,1,US,1574541433,47,33.16,-94.97,12.43,5.1
339,Orapa,74,BW,1574541435,57,-21.28,25.37,25.24,4.46
340,Mayo,75,CA,1574541436,92,63.59,-135.9,-11.0,1.43
341,Bahir Dar,100,ET,1574541437,93,11.59,37.39,15.45,3.18
342,Araouane,0,ML,1574541388,11,18.9,-3.53,23.16,2.79
343,Aksarka,100,RU,1574541441,88,66.56,67.8,-19.92,1.67
344,Basoko,100,CD,1574541442,92,1.23,23.61,21.11,1.33
345,Mitchell,1,US,1574541289,48,43.71,-98.03,9.03,4.6
346,Bull Savanna,75,JM,1574541445,76,17.89,-77.59,23.98,1.91
347,Severo-Kurilsk,100,RU,1574541258,98,50.68,156.12,1.05,3.52
348,Dalby,9,AU,1574541447,77,-27.18,151.26,22.09,4.1
349,Guerrero Negro,97,MX,1574541308,38,27.97,-114.04,22.86,3.09
350,Warrnambool,37,AU,1574541449,93,-38.38,142.48,8.33,4.19
351,Talnakh,21,RU,1574541452,76,69.49,88.39,-24.0,4.0
352,Berlevag,68,NO,1574541287,74,70.86,29.09,3.37,7.58
353,Panguna,100,PG,1574541456,90,-6.32,155.48,21.95,1.05
354,Rapid Valley,1,US,1574541457,19,44.06,-103.15,12.47,7.7
355,Maningrida,0,AU,1574541458,77,-12.05,134.23,25.42,1.03
356,Catabola,23,AO,1574541459,94,-12.14,17.29,17.33,1.39
357,Kristiansund,0,NO,1574541461,69,63.12,7.73,2.56,8.2
358,Sayaxche,52,GT,1574541462,56,16.52,-90.17,30.63,0.77
359,Maltahohe,40,NA,1574541463,10,-24.83,16.98,19.87,5.85
360,Charagua,75,BO,1574541464,83,-19.79,-63.2,24.0,1.5
361,Mariestad,100,SE,1574541466,100,58.71,13.82,4.05,3.6
362,Shingu,75,JP,1574541467,74,33.72,135.99,18.62,2.65
363,Seoul,20,KR,1574541341,93,37.57,126.98,6.12,0.5
364,Nhulunbuy,40,AU,1574541469,83,-12.18,136.78,26.0,2.6
365,Starodzhereliyevskaya,0,RU,1574541472,59,45.48,38.3,-1.11,0.45
366,Felanitx,40,ES,1574541473,54,39.47,3.15,14.93,3.6
367,Los Alamos,1,US,1574541474,45,35.88,-106.3,7.11,1.5
368,Harindanga,19,IN,1574541475,93,22.04,88.32,19.0,1.96
369,Sohatu,90,RO,1574541477,100,44.32,26.5,2.01,2.1
370,Manado,40,ID,1574541478,88,1.49,124.85,24.0,1.5
371,Umkomaas,72,ZA,1574541479,94,-30.21,30.8,21.48,7.34
372,Khorixas,10,NA,1574541480,41,-20.37,14.96,17.88,4.6
373,Yeppoon,40,AU,1574541481,78,-23.13,150.74,22.0,2.6
374,Kropotkin,0,RU,1574541484,67,45.43,40.58,-0.91,9.67
375,Khor,100,RU,1574541486,75,47.88,134.96,-7.38,4.36
376,Astoria,1,US,1574541487,75,46.19,-123.83,9.53,1.5
377,Floro,95,NO,1574541490,75,61.6,5.03,3.14,3.1
378,Bhag,87,PK,1574541491,56,29.04,67.82,19.96,0.62
379,Nyurba,100,RU,1574541492,92,63.29,118.35,-22.69,3.01
380,Nuevo Laredo,1,US,1574541493,43,27.49,-99.5,21.42,3.1
381,Sisimiut,100,GL,1574541496,72,66.94,-53.67,-2.81,7.69
382,Kitaibaraki,100,JP,1574541497,82,36.84,140.74,14.75,1.45
383,Vestmannaeyjar,100,IS,1574541498,74,63.44,-20.27,5.37,3.17
384,Riyadh,15,SA,1574541426,44,24.63,46.72,16.0,1.5
385,Adrar,0,DZ,1574541270,37,27.87,-0.29,20.0,3.6
386,Kirakira,87,SB,1574541502,78,-10.46,161.92,25.81,2.26
387,Maxixe,40,MZ,1574541503,88,-23.86,35.35,27.0,6.2
388,Tazovskiy,7,RU,1574541504,95,67.47,78.7,-24.62,3.98
389,La Ronge,75,CA,1574541323,75,55.1,-105.3,5.0,8.7
390,Honningsvag,99,NO,1574541506,77,70.98,25.97,4.09,8.86
391,Ballina,75,IE,1574541253,93,54.11,-9.15,6.17,1.5
392,San Carlos de Bariloche,75,AR,1574541509,42,-41.13,-71.31,20.0,13.9
393,Prijepolje,0,RS,1574541510,93,43.39,19.65,3.0,2.1
394,Awjilah,88,LY,1574541511,24,29.14,21.3,19.19,2.97
395,El Carmen,20,AR,1574541513,45,-24.39,-65.26,28.34,3.6
396,Dunedin,99,NZ,1574541220,84,-45.87,170.5,15.56,7.15
397,Dingle,3,PH,1574541515,91,11.0,122.67,23.6,3.59
398,Adeje,99,NG,1574541516,90,5.68,5.76,25.45,1.61
399,Vaitape,62,PF,1574541517,77,-16.52,-151.75,27.4,6.97
400,Nizhneudinsk,100,RU,1574541519,72,54.91,99.03,-11.79,2.3
401,Ierapetra,20,GR,1574541520,87,35.01,25.74,15.9,2.6
402,Taganak,75,PH,1574541521,94,6.08,118.3,25.0,2.8
403,Deputatskiy,100,RU,1574541522,93,69.3,139.9,-31.21,2.01
404,Thinadhoo,40,MV,1574541523,78,0.53,72.93,28.12,4.91
405,San Pedro,18,AR,1574541525,45,-33.68,-59.66,23.03,1.79
406,Dudinka,67,RU,1574541526,76,69.41,86.18,-24.0,4.0
407,Almeirim,100,BR,1574541527,57,-1.53,-52.58,28.69,1.41
408,Khilok,98,RU,1574541528,93,51.36,110.46,-18.82,4.37
409,Norman Wells,75,CA,1574541252,92,65.28,-126.83,-12.0,0.88
410,Hasaki,75,JP,1574541531,100,35.73,140.83,16.95,4.6
411,Strezhevoy,98,RU,1574541532,92,60.73,77.6,-5.0,2.0
412,Punta Cardon,29,VE,1574541533,72,11.61,-70.22,28.31,8.22
413,Jacareacanga,59,BR,1574541534,62,-6.22,-57.76,29.69,0.4
414,Samarai,15,PG,1574541536,79,-10.62,150.67,23.57,2.6
415,Mount Darwin,100,ZW,1574541537,89,-16.77,31.58,20.94,1.18
416,Norwood,27,LK,1574541538,89,6.84,80.61,19.4,1.42
417,Ohara,20,JP,1574541539,93,35.12,135.83,11.43,2.6
418,Manokwari,100,ID,1574541540,69,-0.87,134.08,23.51,1.84
419,Belmonte,56,PT,1574541542,91,40.36,-7.35,7.85,0.45
420,Kinablangan,69,PH,1574541543,84,7.69,126.55,22.5,2.47
421,Sao Cristovao,2,BR,1574541544,65,-11.01,-37.21,28.0,7.2
422,Glendive,1,US,1574541545,32,47.11,-104.71,10.95,7.7
423,Tommot,100,RU,1574541545,94,58.97,126.27,-24.18,3.48
424,Raudeberg,93,NO,1574541550,75,61.99,5.14,5.49,3.1
425,Wadi Musa,0,JO,1574541552,48,30.32,35.48,9.89,1.93
426,Beloha,0,MG,1574541553,74,-25.17,45.06,20.64,6.71
427,Imbituba,75,BR,1574541320,82,-28.24,-48.67,20.0,10.8
428,Balad,22,ID,1574541556,94,-6.76,108.42,20.87,1.73
429,Ashcroft,75,AU,1574541557,72,-33.91,150.9,18.12,6.7
430,Lubao,100,CD,1574541558,99,-5.39,25.75,18.92,1.36
431,Dhidhdhoo,22,MV,1574541561,78,6.88,73.1,28.39,7.74
432,Alacranes,20,CU,1574541562,54,22.77,-81.57,28.0,2.1
433,Olinda,0,AU,1574541563,66,-37.84,145.39,11.74,3.1
434,Orlik,90,PL,1574541564,75,53.95,17.74,-0.14,6.2
435,Azogues,75,EC,1574541566,40,-2.74,-78.85,22.0,3.6
436,Broken Hill,0,AU,1574541567,47,-31.97,141.45,15.0,4.6
437,Jieshou,100,CN,1574541568,79,33.26,115.35,13.57,4.41
438,Ostrovnoy,99,RU,1574541569,92,68.05,39.51,-3.63,7.75
439,Garachine,0,PA,1574541571,76,8.06,-78.36,27.1,4.03
440,Mackay,75,CA,1574541572,42,53.65,-115.58,7.5,6.7
441,Bikramganj,100,IN,1574541573,53,25.22,84.27,18.49,2.29
442,Port Macquarie,90,AU,1574541574,94,-31.43,152.91,20.96,2.31
443,El Tigre,100,VE,1574541576,66,8.89,-64.25,28.47,3.65
444,Leningradskiy,97,RU,1574541321,96,69.38,178.42,-20.53,8.72
445,Yantal,100,RU,1574541578,94,56.85,105.25,-14.53,4.52
446,Kandi,0,BJ,1574541579,30,11.13,2.93,28.0,1.26
447,Ranong,14,TH,1574541580,80,9.96,98.62,25.62,2.53
448,Heyang,75,CN,1574541582,95,26.1,107.47,13.22,0.67
449,Qaqortoq,20,GL,1574541583,58,60.72,-46.03,-4.0,1.5
450,Amahai,24,ID,1574541584,73,-3.31,129.0,27.86,0.83
451,Jardim,76,BR,1574541585,35,-21.48,-56.15,34.75,2.48
452,La Rioja,61,AR,1574541586,54,-29.41,-66.86,23.54,4.88
453,Dunmore Town,76,BS,1574541588,56,25.5,-76.65,24.27,3.33
454,Okha,91,RU,1574541589,81,53.59,142.95,-7.76,8.84
455,Teruel,6,ES,1574541590,65,40.34,-1.11,6.7,8.7
456,Faya,0,SA,1574541591,87,18.39,42.45,14.0,1.82
457,Guerrero,20,AR,1574541592,45,-24.19,-65.45,30.0,3.6
458,Poso,81,ID,1574541594,87,-1.4,120.75,19.3,1.6
459,Chik,51,RU,1574541595,71,54.99,82.44,-15.0,4.0
460,Mairana,65,BO,1574541596,65,-18.12,-63.96,22.72,1.0
461,Skibbereen,75,IE,1574541600,93,51.55,-9.27,7.0,5.7
462,Willowmore,15,ZA,1574541602,76,-33.3,23.49,12.08,1.96
463,Sechura,82,PE,1574541604,87,-5.56,-80.82,19.42,8.82
464,Forio,40,IT,1574541605,63,40.73,13.86,17.1,2.6
465,Tiznit,100,MA,1574541315,93,29.7,-9.73,12.68,3.16
466,Westport,1,US,1574541607,48,41.14,-73.36,6.26,5.1
467,Pokhara,100,NP,1574541609,92,28.21,83.99,14.28,0.9
468,Baie-Comeau,1,CA,1574541610,68,49.22,-68.15,-2.83,6.7
469,Nalut,100,LY,1574541611,20,31.86,10.98,19.5,8.85
470,Tiguisan,100,PH,1574541612,88,12.84,121.46,25.37,2.67
471,Banda Aceh,63,ID,1574541498,90,5.56,95.32,22.64,2.12
472,Nha Trang,40,VN,1574541615,83,12.24,109.19,25.0,2.1
473,Hambantota,87,LK,1574541616,76,6.12,81.12,27.0,7.23
474,Bogorodskoye,46,RU,1574541619,69,52.37,140.44,-13.99,3.56
475,Noormarkku,98,FI,1574541620,92,61.59,21.87,-3.0,2.6
476,Ayan,99,IR,1574541621,90,38.23,44.7,-4.12,0.47
477,Luganville,75,VU,1574541623,61,-15.51,167.18,25.0,5.1
478,Katsuura,20,JP,1574541348,93,33.93,134.5,11.0,4.6
479,Shaunavon,3,CA,1574541626,83,49.65,-108.41,2.26,4.47
480,Daru,88,PG,1574541627,81,-9.07,143.21,24.3,1.81
481,Salekhard,100,RU,1574541629,87,66.54,66.62,-17.7,0.5
482,Richards Bay,100,ZA,1574541630,96,-28.77,32.06,23.49,3.6
483,Harper,1,US,1574541631,27,30.3,-99.24,21.79,5.8
484,Kalianget,10,ID,1574541632,94,-7.35,109.91,20.22,0.86
485,Praia da Vitoria,40,PT,1574541552,82,38.73,-27.07,20.0,12.76
486,Okhotsk,93,RU,1574541635,73,59.36,143.24,-13.26,10.71
487,Tabou,100,CI,1574541636,85,4.42,-7.36,25.99,1.78
488,Khonsa,100,IN,1574541637,94,26.99,95.51,14.01,1.58
489,Pitimbu,20,BR,1574541640,69,-7.47,-34.81,27.0,6.2
490,Kano,1,NG,1574541641,19,11.99,8.53,27.47,1.79
491,Huilong,100,CN,1574541642,85,31.15,106.5,12.9,1.77
492,Johnson City,75,US,1574541397,82,36.31,-82.35,10.37,3.1
493,Batagay-Alyta,57,RU,1574541554,70,67.8,130.41,-34.87,1.15
494,Ada,40,US,1574541646,57,34.77,-96.68,11.4,4.1
495,Saint-Leu,90,RE,1574541647,83,-21.15,55.28,23.83,1.0
496,Sapa,40,PH,1574541648,83,14.32,120.76,25.89,1.0
497,Comarapa,100,BO,1574541650,63,-17.91,-64.53,20.11,1.36
498,Weinan,90,CN,1574541651,65,34.5,109.46,8.46,3.0
499,Lodeynoye Pole,96,RU,1574541652,53,60.73,33.55,-5.73,2.37
500,Morehead,90,US,1574541653,100,38.18,-83.43,7.44,2.32
501,Prachuap Khiri Khan,0,TH,1574541654,67,11.81,99.79,24.72,3.31
502,Bulaevo,100,KZ,1574541656,93,54.91,70.44,-10.45,4.47
503,Lensk,100,RU,1574541657,93,60.71,114.91,-22.56,4.32
504,Ati,7,TD,1574541658,17,13.21,18.34,26.99,2.3
505,Ler,4,NO,1574541659,86,63.2,10.3,1.02,5.7
506,Grand Gaube,75,MU,1574541661,88,-20.01,57.66,25.26,2.96
507,Andilamena,100,MG,1574541662,97,-17.01,48.57,19.54,4.27
508,Itarema,15,BR,1574541368,74,-2.92,-39.92,26.74,4.06
509,Gat,1,SN,1574541664,73,14.69,-16.54,24.0,7.7
510,Tateyama,0,JP,1574541666,70,36.66,137.31,9.56,1.34
511,Salinopolis,100,BR,1574541667,79,-0.61,-47.36,27.78,6.14
512,Mfou,40,CM,1574541668,100,3.72,11.64,22.0,1.67
513,Bilma,0,NE,1574541669,16,18.69,12.92,25.48,3.2
514,Los Llanos de Aridane,20,ES,1574541671,83,28.66,-17.92,19.1,4.1
515,Petropavlovsk-Kamchatskiy,75,RU,1574541672,92,53.05,158.65,-8.0,3.0
516,Sobolevo,100,RU,1574541673,36,54.43,31.9,-4.67,4.93
517,Rudnogorsk,100,RU,1574541674,93,57.27,103.75,-14.15,4.65
518,Pontianak,45,ID,1574541675,96,-0.02,109.34,23.04,0.84
519,Shwebo,0,MM,1574541677,84,22.57,95.7,19.52,1.22
520,Beidao,100,CN,1574541678,75,34.57,105.89,-0.05,3.14
521,Dali,100,CN,1574541679,51,34.79,109.94,6.74,4.63
522,Samoded,0,RU,1574541680,88,63.61,40.52,-8.03,2.3
523,Santa Fe,27,AR,1574541682,28,-31.62,-60.7,28.22,3.58
524,Manicore,25,BR,1574541580,90,-5.81,-61.3,27.11,1.52
525,Nouadhibou,1,MR,1574541684,82,20.93,-17.03,19.0,6.7
526,Buta,100,CD,1574541686,96,2.79,24.73,21.32,0.85
527,Tabas,100,IR,1574541687,48,33.6,56.92,7.72,0.44
528,Moose Jaw,75,CA,1574541688,57,50.4,-105.54,8.92,7.7
529,Goundam,0,ML,1574541690,20,16.42,-3.66,26.39,5.49
530,Tura,100,RU,1574541435,98,64.27,100.22,-26.64,0.77
531,Volchansk,83,RU,1574541692,90,59.94,60.08,-7.95,1.98
532,Kuandian,100,CN,1574541693,88,40.73,124.78,5.19,3.86
533,Lagos,20,NG,1574541694,88,6.46,3.39,27.0,1.5
534,Alugan,99,PH,1574541696,82,12.22,125.48,27.73,3.54
535,Gornopravdinsk,100,RU,1574541697,96,60.06,69.92,-8.75,1.23
536,Pacific Grove,1,US,1574541698,37,36.62,-121.92,19.04,2.6
537,Piterka,0,RU,1574541700,51,50.68,47.44,-7.49,2.48
538,Trat,70,TH,1574541701,63,12.25,102.51,25.56,2.04
539,Iquique,40,CL,1574541544,64,-20.22,-70.14,23.0,7.7
